USPS,GEOID,NAME,LAT,LNG,POPULATION,NAMEANDPOPULATION
GA,13001,Appling County,31.739712,-82.290103,12726,"Appling County, 12726"
GA,13003,Atkinson County,31.296861,-82.878199,5879,"Atkinson County, 5879"
GA,13005,Bacon County,31.55021,-82.451433,8233,"Bacon County, 8233"
GA,13007,Baker County,31.31958,-84.454881,3875,"Baker County, 3875"
GA,13009,Baldwin County,33.05949,-83.255457,34240,"Baldwin County, 34240"
GA,13011,Banks County,34.351922,-83.498441,6833,"Banks County, 6833"
GA,13013,Barrow County,33.992009,-83.712303,16859,"Barrow County, 16859"
GA,13015,Bartow County,34.240917,-84.838188,32911,"Bartow County, 32911"
GA,13017,Ben Hill County,31.740775,-83.14719,13171,"Ben Hill County, 13171"
GA,13019,Berrien County,31.288652,-83.22787,11556,"Berrien County, 11556"
GA,13021,Bibb County,32.808844,-83.694193,143366,"Bibb County, 143366"
GA,13023,Bleckley County,32.435403,-83.331717,10291,"Bleckley County, 10291"
GA,13025,Brantley County,31.197334,-81.982978,5940,"Brantley County, 5940"
GA,13027,Brooks County,30.822934,-83.581905,13743,"Brooks County, 13743"
GA,13029,Bryan County,32.017969,-81.438543,6539,"Bryan County, 6539"
GA,13031,Bulloch County,32.393408,-81.74381,31585,"Bulloch County, 31585"
GA,13033,Burke County,33.050819,-82.011571,18255,"Burke County, 18255"
GA,13035,Butts County,33.290355,-83.958221,10560,"Butts County, 10560"
GA,13037,Calhoun County,31.521279,-84.62629,6606,"Calhoun County, 6606"
GA,13039,Camden County,30.913347,-81.642001,11334,"Camden County, 11334"
GA,13043,Candler County,32.403852,-82.071235,6412,"Candler County, 6412"
GA,13045,Carroll County,33.582237,-85.080527,45404,"Carroll County, 45404"
GA,13047,Catoosa County,34.899393,-85.137353,28271,"Catoosa County, 28271"
GA,13049,Charlton County,30.779904,-82.139644,5680,"Charlton County, 5680"
GA,13051,Chatham County,31.980412,-81.085206,187816,"Chatham County, 187816"
GA,13053,Chattahoochee County,32.347445,-84.788021,25813,"Chattahoochee County, 25813"
GA,13055,Chattooga County,34.474178,-85.345289,20541,"Chattooga County, 20541"
GA,13057,Cherokee County,34.244317,-84.475057,31059,"Cherokee County, 31059"
GA,13059,Clarke County,33.952185,-83.367152,65177,"Clarke County, 65177"
GA,13061,Clay County,31.619831,-84.992583,3636,"Clay County, 3636"
GA,13063,Clayton County,33.542686,-84.355573,98126,"Clayton County, 98126"
GA,13065,Clinch County,30.917653,-82.702614,6405,"Clinch County, 6405"
GA,13067,Cobb County,33.93994,-84.574166,196793,"Cobb County, 196793"
GA,13069,Coffee County,31.549245,-82.844938,22828,"Coffee County, 22828"
GA,13071,Colquitt County,31.189758,-83.769741,32298,"Colquitt County, 32298"
GA,13073,Columbia County,33.547631,-82.252296,22327,"Columbia County, 22327"
GA,13075,Cook County,31.152528,-83.429438,12129,"Cook County, 12129"
GA,13077,Coweta County,33.352897,-84.762138,32310,"Coweta County, 32310"
GA,13079,Crawford County,32.709428,-83.979187,5748,"Crawford County, 5748"
GA,13081,Crisp County,31.915149,-83.753531,18087,"Crisp County, 18087"
GA,13083,Dade County,34.852424,-85.506201,9910,"Dade County, 9910"
GA,13085,Dawson County,34.442842,-84.173284,3639,"Dawson County, 3639"
GA,13087,Decatur County,30.880655,-84.584144,22310,"Decatur County, 22310"
GA,13089,DeKalb County,33.770661,-84.226343,415387,"DeKalb County, 415387"
GA,13091,Dodge County,32.160235,-83.156241,15658,"Dodge County, 15658"
GA,13093,Dooly County,32.151995,-83.807167,10404,"Dooly County, 10404"
GA,13095,Dougherty County,31.532588,-84.20904,89639,"Dougherty County, 89639"
GA,13097,Douglas County,33.699317,-84.765944,28659,"Douglas County, 28659"
GA,13099,Early County,31.324191,-84.906723,12682,"Early County, 12682"
GA,13101,Echols County,30.7085,-82.836132,1924,"Echols County, 1924"
GA,13103,Effingham County,32.361711,-81.343337,13632,"Effingham County, 13632"
GA,13105,Elbert County,34.116455,-82.841834,17262,"Elbert County, 17262"
GA,13107,Emanuel County,32.5911,-82.299763,18357,"Emanuel County, 18357"
GA,13109,Evans County,32.153087,-81.890155,7290,"Evans County, 7290"
GA,13111,Fannin County,34.866543,-84.317331,13357,"Fannin County, 13357"
GA,13113,Fayette County,33.412717,-84.493941,11364,"Fayette County, 11364"
GA,13115,Floyd County,34.263677,-85.21373,73742,"Floyd County, 73742"
GA,13117,Forsyth County,34.225143,-84.127435,16928,"Forsyth County, 16928"
GA,13119,Franklin County,34.375081,-83.228064,12784,"Franklin County, 12784"
GA,13121,Fulton County,33.790034,-84.468182,605210,"Fulton County, 605210"
GA,13123,Gilmer County,34.690495,-84.454651,8956,"Gilmer County, 8956"
GA,13125,Glascock County,33.227491,-82.606913,2280,"Glascock County, 2280"
GA,13127,Glynn County,31.212746,-81.496517,50528,"Glynn County, 50528"
GA,13129,Gordon County,34.509667,-84.873862,23570,"Gordon County, 23570"
GA,13131,Grady County,30.875891,-84.245066,17826,"Grady County, 17826"
GA,13133,Greene County,33.57674,-83.166613,10212,"Greene County, 10212"
GA,13135,Gwinnett County,33.959148,-84.023085,72349,"Gwinnett County, 72349"
GA,13137,Habersham County,34.634392,-83.525875,20691,"Habersham County, 20691"
GA,13139,Hall County,34.317588,-83.818497,59405,"Hall County, 59405"
GA,13141,Hancock County,33.26922,-83.000465,9019,"Hancock County, 9019"
GA,13143,Haralson County,33.795165,-85.220062,15927,"Haralson County, 15927"
GA,13145,Harris County,32.731549,-84.912432,11520,"Harris County, 11520"
GA,13147,Hart County,34.348733,-82.96329,15814,"Hart County, 15814"
GA,13149,Heard County,33.291347,-85.137879,5354,"Heard County, 5354"
GA,13151,Henry County,33.452947,-84.154021,23724,"Henry County, 23724"
GA,13153,Houston County,32.458381,-83.662856,62924,"Houston County, 62924"
GA,13155,Irwin County,31.604306,-83.277037,8036,"Irwin County, 8036"
GA,13157,Jackson County,34.130888,-83.562538,21093,"Jackson County, 21093"
GA,13159,Jasper County,33.318169,-83.690142,5760,"Jasper County, 5760"
GA,13161,Jeff Davis County,31.811615,-82.636825,9425,"Jeff Davis County, 9425"
GA,13163,Jefferson County,33.058176,-82.420004,17174,"Jefferson County, 17174"
GA,13165,Jenkins County,32.794563,-81.971524,8332,"Jenkins County, 8332"
GA,13167,Johnson County,32.694584,-82.66397,7727,"Johnson County, 7727"
GA,13169,Jones County,33.020226,-83.562339,12270,"Jones County, 12270"
GA,13171,Lamar County,33.07446,-84.146721,10688,"Lamar County, 10688"
GA,13173,Lanier County,31.038197,-83.063164,5031,"Lanier County, 5031"
GA,13175,Laurens County,32.39322,-82.926317,32738,"Laurens County, 32738"
GA,13177,Lee County,31.818419,-84.146681,7044,"Lee County, 7044"
GA,13179,Liberty County,31.807458,-81.457871,17569,"Liberty County, 17569"
GA,13181,Lincoln County,33.792151,-82.448299,5895,"Lincoln County, 5895"
GA,13183,Long County,31.749563,-81.74287,3746,"Long County, 3746"
GA,13185,Lowndes County,30.833127,-83.268992,55112,"Lowndes County, 55112"
GA,13187,Lumpkin County,34.568135,-83.998906,8728,"Lumpkin County, 8728"
GA,13189,McDuffie County,33.482464,-82.473188,15276,"McDuffie County, 15276"
GA,13191,McIntosh County,31.488592,-81.37246,7371,"McIntosh County, 7371"
GA,13193,Macon County,32.362686,-84.051231,12933,"Macon County, 12933"
GA,13195,Madison County,34.128526,-83.203737,13517,"Madison County, 13517"
GA,13197,Marion County,32.359538,-84.529561,5099,"Marion County, 5099"
GA,13199,Meriwether County,33.029244,-84.667041,19461,"Meriwether County, 19461"
GA,13201,Miller County,31.162908,-84.730386,6424,"Miller County, 6424"
GA,13205,Mitchell County,31.228997,-84.192038,18956,"Mitchell County, 18956"
GA,13207,Monroe County,33.017435,-83.922938,10991,"Monroe County, 10991"
GA,13209,Montgomery County,32.172108,-82.533349,6099,"Montgomery County, 6099"
GA,13211,Morgan County,33.593236,-83.491027,9904,"Morgan County, 9904"
GA,13213,Murray County,34.797097,-84.73799,12986,"Murray County, 12986"
GA,13215,Muscogee County,32.510197,-84.874946,167377,"Muscogee County, 167377"
GA,13217,Newton County,33.544021,-83.855185,26282,"Newton County, 26282"
GA,13219,Oconee County,33.834125,-83.437728,7915,"Oconee County, 7915"
GA,13221,Oglethorpe County,33.866806,-83.074081,7598,"Oglethorpe County, 7598"
GA,13223,Paulding County,33.921026,-84.867162,17520,"Paulding County, 17520"
GA,13225,Peach County,32.571324,-83.831978,15990,"Peach County, 15990"
GA,13227,Pickens County,34.456813,-84.490339,9620,"Pickens County, 9620"
GA,13229,Pierce County,31.353988,-82.210427,9281,"Pierce County, 9281"
GA,13231,Pike County,33.090768,-84.386627,7316,"Pike County, 7316"
GA,13233,Polk County,33.996015,-85.188338,29656,"Polk County, 29656"
GA,13235,Pulaski County,32.238794,-83.481855,8066,"Pulaski County, 8066"
GA,13237,Putnam County,33.32106,-83.37179,8394,"Putnam County, 8394"
GA,13239,Quitman County,31.862948,-85.004801,2180,"Quitman County, 2180"
GA,13241,Rabun County,34.883949,-83.404859,8327,"Rabun County, 8327"
GA,13243,Randolph County,31.762651,-84.752311,8734,"Randolph County, 8734"
GA,13245,Richmond County,33.361487,-82.074998,162437,"Richmond County, 162437"
GA,13247,Rockdale County,33.652081,-84.02637,18152,"Rockdale County, 18152"
GA,13249,Schley County,32.263441,-84.322724,3097,"Schley County, 3097"
GA,13251,Screven County,32.744751,-81.617585,12591,"Screven County, 12591"
GA,13253,Seminole County,30.933894,-84.867592,7059,"Seminole County, 7059"
GA,13255,Spalding County,33.262389,-84.286067,39514,"Spalding County, 39514"
GA,13257,Stephens County,34.552914,-83.290216,20331,"Stephens County, 20331"
GA,13259,Stewart County,32.073225,-84.834912,6511,"Stewart County, 6511"
GA,13261,Sumter County,32.042198,-84.20426,26931,"Sumter County, 26931"
GA,13263,Talbot County,32.704603,-84.530029,6625,"Talbot County, 6625"
GA,13265,Taliaferro County,33.559319,-82.875272,2423,"Taliaferro County, 2423"
GA,13267,Tattnall County,32.043768,-82.059208,16557,"Tattnall County, 16557"
GA,13269,Taylor County,32.554667,-84.251426,7865,"Taylor County, 7865"
GA,13271,Telfair County,31.913639,-82.931062,11394,"Telfair County, 11394"
GA,13273,Terrell County,31.777191,-84.439446,11416,"Terrell County, 11416"
GA,13275,Thomas County,30.864606,-83.91982,34562,"Thomas County, 34562"
GA,13277,Tift County,31.457003,-83.525931,27288,"Tift County, 27288"
GA,13279,Toombs County,32.126698,-82.332071,19151,"Toombs County, 19151"
GA,13281,Towns County,34.902529,-83.732264,4565,"Towns County, 4565"
GA,13283,Treutlen County,32.409586,-82.570882,5647,"Treutlen County, 5647"
GA,13285,Troup County,33.034482,-85.02836,44466,"Troup County, 44466"
GA,13287,Turner County,31.7248,-83.620319,8790,"Turner County, 8790"
GA,13289,Twiggs County,32.665847,-83.425879,8222,"Twiggs County, 8222"
GA,13291,Union County,34.833333,-83.989257,6811,"Union County, 6811"
GA,13293,Upson County,32.881837,-84.292281,23505,"Upson County, 23505"
GA,13295,Walker County,34.735827,-85.305385,50691,"Walker County, 50691"
GA,13297,Walton County,33.783887,-83.731829,23404,"Walton County, 23404"
GA,13299,Ware County,31.050881,-82.421507,33525,"Ware County, 33525"
GA,13301,Warren County,33.419169,-82.688012,6669,"Warren County, 6669"
GA,13303,Washington County,32.971848,-82.798112,17480,"Washington County, 17480"
GA,13305,Wayne County,31.547845,-81.912376,17858,"Wayne County, 17858"
GA,13307,Webster County,32.046691,-84.553828,2362,"Webster County, 2362"
GA,13309,Wheeler County,32.105268,-82.733865,4596,"Wheeler County, 4596"
GA,13311,White County,34.643776,-83.743417,7742,"White County, 7742"
GA,13313,Whitfield County,34.801726,-84.968541,55108,"Whitfield County, 55108"
GA,13315,Wilcox County,31.962717,-83.438262,6998,"Wilcox County, 6998"
GA,13317,Wilkes County,33.779031,-82.747921,10184,"Wilkes County, 10184"
GA,13319,Wilkinson County,32.804266,-83.175512,9393,"Wilkinson County, 9393"
GA,13321,Worth County,31.551773,-83.84996,14770,"Worth County, 14770"
